idx,word,occurrences
462,points,51
463,DC,51
464,Very,51
465,Good,51
466,Houston,51
467,waited,51
468,life,51
469,traveling,51
470,arrive,51
471,wouldnt,51
472,maintenance,51
473,Well,50
474,AM,50
475,quick,50
476,may,50
477,NOT,50
478,Customer,50
479,terminal,50
480,changes,50
481,reFlight,50
482,arent,50
483,seriously,49
484,arrived,49
485,end,49
486,forward,49
487,na,49
488,YOU,49
489,sucks,49
490,request,49
491,B,49
492,pick,49
493,busy,49
494,process,48
495,Monday,48
496,expect,48
497,loyal,48
498,Airlines,48
499,room,48
500,guess,48
501,feel,47
502,error,47
503,standby,47
504,ask,47
505,reach,47
506,frustrating,47
507,counting,47
508,There,47
509,SWA,47
510,plus,46
511,second,46
512,thx,46
513,checking,46
514,years,46
515,joke,46
516,jetblue,46
517,tarmac,46
518,FLL,46
519,apology,46
520,In,45
521,LGA,45
522,cust,45
523,CEO,45
524,computer,45
525,international,45
526,THE,45
527,asking,45
528,needed,45
529,oh,45
530,deal,44
531,everything,44
532,Love,44
533,paying,44
534,passenger,44
535,pilots,44
536,place,44
537,wanted,44
538,looks,44
539,address,44
540,fees,44
541,Miami,44
542,taken,44
543,form,44
544,complaint,44
545,Air,44
546,awful,44
547,After,43
548,bring,43
549,happens,43
550,provide,43
551,Trying,43
552,updates,43
553,makes,43
554,carry,43
555,empty,43
556,thought,43
557,Also,43
558,whole,43
559,Flighting,43
560,months,43
561,boarded,43
562,run,43
563,weve,43
564,guy,43
565,leg,43
566,SW,43
567,PHX,43
568,Gate,42
569,gt,42
570,lose,42
571,helping,42
572,entire,42
573,Would,42
574,seem,42
575,communication,42
576,happen,42
577,counter,42
578,spent,42
579,Sunday,42
580,award,41
581,seems,41
582,world,41
583,Got,41
584,Philly,41
585,case,41
586,IAH,41
587,sleep,41
588,b,41
589,fault,41
590,Flightlations,41
591,youve,40
592,flew,40
593,friends,40
594,NO,40
595,LA,40
596,human,40
597,buy,40
598,respond,40
599,suck,40
600,drive,40
601,Youre,39
602,pretty,39
603,either,39
604,beyond,39
605,moved,39
606,month,39
607,Were,39
608,Worst,39
609,price,39
610,group,39
611,maybe,39
612,automated,39
613,holding,39
614,im,38
615,correct,38
616,offered,38
617,Had,38
618,First,38
619,upset,38
620,rather,38
621,situation,38
622,Maybe,38
623,sat,38
624,live,38
625,appreciated,38
626,HELP,37
627,At,37
628,fine,37
629,bought,37
630,flown,37
631,Another,37
632,future,37
633,Delayed,37
634,Airport,37
635,figure,37
636,BWI,37
637,Nashville,37
638,following,37
639,hi,36
640,reschedule,36
641,Only,36
642,charged,36
643,shouldnt,36
644,confirmed,36
645,treat,36
646,Get,36
647,hoping,36
648,yr,36
649,connections,36
650,handle,36
651,supervisor,36
652,record,36
653,Tarmac,36
654,date,36
655,switch,36
656,disconnected,36
657,support,35
658,Hey,35
659,city,35
660,customerservice,35
661,easy,35
662,plans,35
663,helped,35
664,ready,35
665,As,35
666,luck,35
667,details,35
668,members,35
669,UnitedAirlines,35
670,compensation,35
671,original,35
672,theyre,35
673,means,35
674,allowed,35
675,gets,35
676,allow,35
677,hey,35
678,kind,35
679,companion,35
680,cause,34
681,Austin,34
682,high,34
683,One,34
684,C,34
685,purchase,34
686,pls,34
687,currently,34
688,set,34
689,lol,34
690,clothes,34
691,delivered,34
692,fact,34
693,seen,34
694,USAir,34
695,schedule,33
696,middle,33
697,inflight,33
698,share,33
699,running,33
700,Flightlation,33
701,gives,33
702,fare,33
703,Looking,33
704,glad,33
705,part,33
706,storm,33
707,employee,33
708,front,33
709,Tuesday,33
710,Orlando,33
711,cold,32
712,wish,32
713,Atlanta,32
714,giving,32
715,fun,32
716,cabin,32
717,several,32
718,rd,32
719,reps,32
720,Then,32
721,ppl,32
722,aircraft,32
723,weekend,32
724,top,32
725,sense,32
726,hate,32
727,losing,32
728,water,32
729,answering,31
730,Feb,31
731,rescheduled,31
732,land,31
733,gon,31
734,came,31
735,safety,31
736,southwest,31
737,Did,31
738,shit,31
739,Flights,31
740,word,31
741,explain,31
742,probably,31
743,TO,31
744,DEN,31
745,changing,31
746,Service,31
747,non,30
748,birthday,30
749,layover,30
750,TSA,30
751,takes,30
752,sad,30
753,afternoon,30
754,access,30
755,space,30
756,tix,30
757,overnight,30
758,knew,30
759,goes,30
760,jet,30
761,load,30
762,arrival,30
763,answers,30
764,fixed,30
765,multiple,30
766,crazy,30
767,country,29
768,MCO,29
769,media,29
770,completely,29
771,Terrible,29
772,super,29
773,Friday,29
774,keeps,29
775,inconvenience,29
776,ASAP,29
777,Should,29
778,complete,29
779,Oh,29
780,services,29
781,mine,29
782,works,29
783,confirm,29
784,okay,29
785,Unacceptable,29
786,phones,29
787,list,29
788,showing,29
789,ATL,29
790,sending,29
791,attitude,29
792,plan,29
793,USAirways,29
794,PLEASE,28
795,code,28
796,Pls,28
797,closed,28
798,r,28
799,report,28
800,Flt,28
801,husband,28
802,despite,28
803,course,28
804,MY,28
805,overhead,28
806,drop,28
807,matter,28
808,He,28
809,K,28
810,responding,28
811,dealing,28
812,control,28
813,RDU,28
814,Delta,28
815,treated,28
816,hasnt,28
817,relations,28
818,letter,28
819,yeah,28
820,Wall,28
821,Nice,27
822,flyer,27
823,page,27
824,ride,27
825,mobile,27
826,nonstop,27
827,depart,27
828,Who,27
829,area,27
830,bit,27
831,route,27
832,absolutely,27
833,round,27
834,evening,27
835,k,27
836,wo,27
837,anymore,27
838,read,27
839,winter,27
840,held,27
841,extremely,27
842,feedback,27
843,x,27
844,ME,27
845,Seriously,27
846,true,27
847,worries,27
848,seating,26
849,Or,26
850,TV,26
851,behind,26
852,small,26
853,spoke,26
854,child,26
855,submitted,26
856,Stuck,26
857,folks,26
858,dm,26
859,wonderful,26
860,vouchers,26
861,connect,26
862,worth,26
863,note,26
864,lounge,26
865,move,26
866,unable,26
867,letting,26
868,catch,26
869,priority,26
870,complaints,26
871,usairwaysfail,26
872,lines,26
873,hang,26
874,BNA,26
875,takeoff,25
876,wow,25
877,mind,25
878,shows,25
879,Sorry,25
880,watch,25
881,anyway,25
882,trouble,25
883,must,25
884,shes,25
885,LAS,25
886,totally,25
887,spend,25
888,Awesome,25
889,window,25
890,WTF,25
891,forced,25
892,Could,25
893,learn,25
894,saw,25
895,gates,25
896,knows,25
897,offering,25
898,lets,25
899,baby,25
900,failed,25
901,cover,25
902,mess,25
903,hangs,25
904,blue,25
905,jfk,24
906,kept,24
907,dropped,24
908,stuff,24
909,apparently,24
910,Keep,24
911,drink,24
912,frequent,24
913,happening,24
914,For,24
915,excellent,24
916,club,24
917,AND,24
918,started,24
919,others,24
920,sign,24
921,anywhere,24
922,arriving,24
923,Flightd,24
924,caused,24
925,resolved,24
926,Going,24
927,post,24
928,WORST,24
929,merger,24
930,Waiting,24
931,Finally,24
932,door,24
933,ice,24
934,explanation,24
935,funeral,24
936,entertainment,23
937,gone,23
938,win,23
939,four,23
940,assist,23
941,receive,23
942,choice,23
943,AmericanAirlines,23
944,twitter,23
945,itinerary,23
946,March,23
947,order,23
948,See,23
949,short,23
950,domestic,23
951,worked,23
952,daughter,23
953,moving,23
954,Too,23
955,mom,23
956,To,23
957,followed,23
958,updated,23
959,Where,23
960,airplane,23
961,Hopefully,23
962,ON,23
963,bumped,23
964,acceptable,23
965,Phoenix,23
966,meal,23
967,volume,23
968,warm,23
969,Virgin,22
970,select,22
971,current,22
972,traveler,22
973,Flying,22
974,Saturday,22
975,friendly,22
976,Every,22
977,notification,22
978,notice,22
979,center,22
980,emails,22
981,routes,22
982,mileage,22
983,receipt,22
984,UK,22
